Time,VWC,UG2AG,UG2UG
'15/11/19 12:32:21',41.64,-75,
'15/11/19 12:32:22',41.61,-75,
'15/11/19 12:47:21',41.61,-75,
'15/11/19 12:47:22',41.64,-75,
'15/11/19 13:02:21',41.64,-76,
'15/11/19 13:02:22',41.61,-75,
'15/11/19 13:17:21',41.61,-77,
'15/11/19 13:17:22',41.61,-75,
'15/11/19 13:32:21',41.61,-77,
'15/11/19 13:32:22',41.61,-75,
'15/11/19 13:47:21',41.61,-75,
'15/11/19 13:47:22',41.61,-76,
'15/11/19 14:02:21',41.61,-75,
'15/11/19 14:02:22',41.61,-76,
'15/11/19 14:17:21',41.61,-76,
'15/11/19 14:17:22',41.61,-77,
'15/11/19 14:32:21',41.61,-75,
'15/11/19 14:32:22',41.61,-76,
'15/11/19 14:47:21',41.61,-76,
'15/11/19 14:47:23',41.61,-77,
'15/11/19 15:02:21',41.61,-77,
'15/11/19 15:02:22',41.61,-75,
'15/11/19 15:17:21',41.61,-74,
'15/11/19 15:17:22',41.61,-75,
'15/11/19 15:32:21',41.61,-77,
'15/11/19 15:32:22',41.61,-76,
'15/11/19 15:47:21',41.61,-77,
